A situation in which I was able to positively influence the actions of others. I'm just brings me back to a time where I was in highschool arrangement and there were a couple of girls. Worried too familiar with this sport so. They were. Anything.	1
Remember, coming across it incident. Consumer. Purchased from Something to eating that I was working with this account of events and when he received his package. He did not receive it. Soon, he reached out to me through an email and explain to him, the situation and I told him that. We sent him and I've only seen Oh that would be great impacts only for him. He's not going out of my way. You know showing that you're wanting to grow that extra mile for that person.	0
Alright and my previous job, I worked at a debt collection agency and every month. We had to be ourselves goals. And it was the competition and we were basing on winning this month because we were able to you know. We were all able to win flat screen TV's, but Unfortunately we didn't come in 2nd place, which hurts even more because we were only a point behind our sales goals. So me being a team leader at that time. I had to rally everyone up like Hey, listen, it wasn't our time it wasn't you know it wasn't in our plans. You know, we need to work harder. You know, even though we thought we work harder than before. I felt like maybe in their team leader. I had to rally everyone up to just make sure they stay focused. Make sure that you know, let them know that how you did a good job. But. You know, sometimes we fall short and also just. Encouraging everyone to stay positive sometimes with situation. And when people recommend down I started down in themselves. They figure how awesome they are so at that moment. I just had to stay full different OK if. I lose my cool and get that I know everyone else around the world, so with That being said, I was just like come on guys. Let's just stay focused less you know keep your eye on the prize will do better next time you know like this isn't the end for us. Maybe next month, we may we may win or or maybe something better in store for us. So I tried to make sure I let my team know like Hey guys. Don't feel down, we do well. But we can do better. Just giving them their motivation that they need to just let them know 'cause. You don't make sure your team or so or or something that you're responsible for to start losing that. That this driver that engine to keep going because then it's like Oh well. Forget the competition and already just do my job so. I just want to make sure that I just had to stay positive to keep everyone around me.	0
Usually bribery in implementing this using other it's all about being T. Martin just kinda helping role model as to how you want them to represent the company. And when is it practice that I enjoy is making sure that every passenger on flight is greeted with a smile? And once I do that, it seems like everybody seems to follow and they see the captain will see that that is. I'm working with will help as well, and we all pretty much just mimic the same type of energy when it's a positive energie makes it the fact that I gave because? Solitaire.	1
At my current position, I implemented a safety committee. It was challenging at first you get our management on board. Through the actions of the safety committee an different initiatives that I implemented I was able to get management on board. And created a positive. Our safety committee that everyone is currently following an adhering to it was a very good experience.	1
The time, which I. Used to possibly influence and the action of others when I was working at a restaurant called del Frisco's grille. I was really host this which I had the most experience the most customer service with other guests so I just made sure each and every patient and guess that came through the door with satisfied through when they walked in and walked out. I make sure that every guest had the pleasure of getting a warm health hello in a warm goodbye and make sure that everybody was filled with in Word. They needed and that I'm being one situation with when I guess came in, not so pleasant. You know, some People are not having the best of days so I greeted them make sure there was a right and just you know ask me how their day was simply asking how someone's Day is can you know you could help him with whatever situation that they're going through regardless if you've been through it or you can also like what that action there. I helped not only my team members. But the guests in the situation just to be kind to one another and make sure that everybody. Is OK and it's OK to ask People? How the day is going and even if you don't get the response that you know, People usually get like them. Often, one good. You can help them to which in every situation that they go through.	0
So when I went walking for Azure analyzed by measures were dealing with our passengers, she tried to go to Philippines. But the manager from watching her last night and she have a bit of doing with my manager and. But I managed to keep really professional recounts drive Granger have why we have to check the birth certificates. And what's going to happen if we don't check it. And there was a conscious everything and then the? Passengers do lie rule addresses will be yelling at the airport, but my managers do people realize positively com. And then finally she can calm down the passenger and the President Jacques eventually say sorry to my manager. For that behavior that yelling at the manager so I think that is a really good interesting so I would. My manager to show us? What is the real customer services?	0
So as part of my background in information technology. An addition to customer service, an restaurants one of the. She actually certifications that I wanted to pursue so that I could grow my career, so I put in the time Anne. Study time and time needed to pursue those certifications, which included long hours of studying and Memorization, an variable too. Pull that together and people to take the exam and able to pass the exam and I have the result of that. I became a certified scrum master answered like scrum product owner. I love you to grow my career. And In addition to that I was able to I was the first one on my team that actually was able to. Pursue an obtain the certifications, so it actually started a snowball effect for other people on my team to preview. You know those are those are vacations and really you know as a result of that many people on the team. Actually got their certification an angry our team, even more so opinion my professional certifications through our team and make it stronger. As a whole.	0
One situation where I was able to positively positively influence the actions of others was in high school I was a part of a club. There was a greenhouse club we let a movement throughout the school and we made poster boards. We had a presentation. Only was able to. Present our club to the school and to the student of the school and we were. Promoting. And we were promoting. So be less. Harmful to the earth we were. We had a rooftop garden, which we would visit every Tuesday and we were there to grow trees. The trees all around the school. And we showed. What does Earth has done to? What the people in the earth had done to the earth and show the positive outlook? So we as people can do to change what has been done. We were. Able to Obtaining at least. 15 students. Every month an From that club we got an award from the president. Of the school. And he showed us a tremendous amount of. Acceptance.	0
So I worked at Universal Studios Orlando as a ride attendant and I remember there was one time where we had to evacuate our ride. And I assume much like an evacuation for a plane would go. There are multiple steps that you have to do in certain orders in able to. In order to be able to evacuate. So where I was on the ride was called unloaded where people would get. Welcome to ride and in order to help people out of the boats and evacuate the people from my section of the right. I had to wait for a couple more team members to show up. 1st as it was on a job that took about 3 people to do. So I had about 7 boats full of people waiting to be evacuated from the ride and with our ride. It's really easy for people to get up out of the boat San. And. Get up onto the track by themselves, which of course, is something we want to avoid at all costs because it? Dangerous be kind of just have to keep people distracted and people can get really irritable sitting there in Florida so it's hot. And you're sitting in a boat in the sun, not the most favorable circumstance so I remember I was working this unload and we were evacuating. I mean, I had all these people I was responsible for and I was just trying to keep as cheerful as possible. I was having everybody think Queen with me. We were having a blast. And that way I was able to avoid anybody jumping out of the boat and we were able to. Get thrown activation process as smoothly as possible once my team member showed up.	1
